Category,Subcategory,URL
Бакалія,гречка,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/grocery/groats/buckwheat/
Бакалія,манка,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/grocery/groats/semolina/
Бакалія,пшоно,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/grocery/groats/millet/
Бакалія,рис,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/grocery/groats/rice/
Бакалія,вермішель,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/grocery/pasta/vermicelli/
Бакалія,макарони,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/grocery/pasta/penne/
Бакалія,олія,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/grocery/oil/sunfloweroil/
Бакалія,борошно,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/grocery/flour/flour/
Бакалія,цукор,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/grocery/sugar/sugar/
Консерви,зелений горошок,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/canned/vegetables/greenpeas/
Консерви,ікра з кабачків,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/canned/vegetables/roe/
Консерви,кукурудза,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/canned/vegetables/corn/
Консерви,огірки,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/canned/vegetables/cucumbers/
Консерви,оливки,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/canned/olives/olives/
Консерви,сардини,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/canned/fish/sardines/
Консерви,шпроти,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/canned/fish/sprats/
Молочні продукти,йогурт,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/dairy/yogurt/yogurt/
Молочні продукти,кефір,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/dairy/kefir/kefir/
Молочні продукти,маргарин,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/dairy/margarine/margarine/
Молочні продукти,масло,https://index.minfin.com.ua/ua/markets/wares/prods/markets/wares/prods/dairy/butter/butter/
